Model,MAE,RMSE,R2
Random Forest,2302.4172964999666,4045.3587445135354,0.8321599646578063
Gradient Boosting,2527.6057411833785,4390.23439511432,0.8023226566299579
Ridge Regression,4501.323043516691,6945.762439757955,0.5052095246980455
Lasso Regression,4644.442652811656,7112.034799127882,0.48123672181134924
